Gm#,Date,boxscore,Tm,Home/Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
123,Saturday Aug 16,boxscore,PHI,@,WSN,L,0,2,,70-53,1,up 5.0,Cavalli,Walker,Ferrer,2:06,D,36042,1.22,-,
124,Sunday Aug 17,boxscore,PHI,@,WSN,W,11,9,,71-53,1,up 5.0,Banks,Poulin,Duran,3:22,D,26243,1.23,+,
125,Monday Aug 18,boxscore,PHI,,SEA,W,12,7,,72-53,1,up 5.5,Suarez,Gilbert,,2:48,N,44471,1.24,++,
126,Tuesday Aug 19,boxscore,PHI,,SEA,W,6,4,,73-53,1,up 5.5,Robertson,Brash,Duran,2:36,N,43757,1.27,+++,
127,Wednesday Aug 20,boxscore,PHI,,SEA,W,11,2,,74-53,1,up 6.5,Luzardo,Castillo,,2:58,D,38331,1.22,++++,
128,Friday Aug 22,boxscore,PHI,,WSN,L,4,5,,74-54,1,up 6.0,Poulin,Duran,,2:41,N,44757,1.29,-,
129,Saturday Aug 23,boxscore,PHI,,WSN,W,6,4,,75-54,1,up 6.0,Nola,Parker,Duran,2:40,N,44771,1.25,+,
130,Sunday Aug 24,boxscore,PHI,,WSN,W,3,2,,76-54,1,up 7.0,Suarez,Irvin,Kerkering,2:36,D,42580,1.28,++,
131,Monday Aug 25,boxscore,PHI,@,NYM,L,3,13,,76-55,1,up 6.0,Castillo,Sánchez,,3:11,N,41983,1.35,-,
132,Tuesday Aug 26,boxscore,PHI,@,NYM,L-wo,5,6,,76-56,1,up 5.0,Díaz,Duran,,3:13,N,41914,1.46,--,
133,Wednesday Aug 27,boxscore,PHI,@,NYM,L,0,6,,76-57,1,up 4.0,McLean,Walker,,2:13,N,41893,1.45,---,
134,Thursday Aug 28,boxscore,PHI,,ATL,W,19,4,,77-57,1,up 5.0,Nola,Quantrill,,2:48,N,41293,1.30,+,
135,Friday Aug 29,boxscore,PHI,,ATL,W,2,1,,78-57,1,up 5.0,Kerkering,Lee,Duran,2:29,N,40322,1.29,++,
136,Saturday Aug 30,boxscore,PHI,,ATL,W-wo,3,2,10,79-57,1,up 6.0,Strahm,Stratton,,2:44,N,43462,1.35,+++,
137,Sunday Aug 31,boxscore,PHI,,ATL,L,1,3,,79-58,1,up 6.0,Kinley,Alvarado,Iglesias,2:46,N,43770,1.32,-,
138,Monday Sep 1,boxscore,PHI,@,MIL,W,10,8,,80-58,1,up 6.0,Robertson,Uribe,Duran,3:25,D,42153,1.35,+,
139,Wednesday Sep 3,boxscore,PHI,@,MIL,L,3,6,,80-59,1,up 5.5,Quintana,Nola,Koenig,2:36,N,28528,1.31,-,
140,Thursday Sep 4,boxscore,PHI,@,MIL,W,2,0,,81-59,1,up 6.0,Suarez,Myers,Duran,2:36,D,26583,1.34,+,
141,Friday Sep 5,boxscore,PHI,@,MIA,W,9,3,,82-59,1,up 6.0,Sánchez,Bellozo,,2:42,N,15118,1.12,++,
142,Saturday Sep 6,boxscore,PHI,@,MIA,W,4,2,,83-59,1,up 7.0,Luzardo,Alcantara,Duran,2:27,D,23877,.96,+++,
143,Sunday Sep 7,boxscore,PHI,@,MIA,L,4,5,,83-60,1,up 7.0,Henriquez,Walker,Bachar,2:56,D,30223,.71,-,
144,Monday Sep 8,boxscore,PHI,,NYM,W,1,0,,84-60,1,up 8.0,Nola,McLean,Duran,2:34,N,40388,1.00,+,
145,Tuesday Sep 9,boxscore,PHI,,NYM,W,9,3,,85-60,1,up 9.0,Suarez,Manaea,,2:39,N,41609,.91,++,
146,Wednesday Sep 10,boxscore,PHI,,NYM,W,11,3,,86-60,1,up10.0,Sánchez,Holmes,,2:57,N,38090,.77,+++,
147,Thursday Sep 11,boxscore,PHI,,NYM,W,6,4,,87-60,1,up11.0,Luzardo,Garrett,Duran,2:16,N,40098,.78,++++,
148,Friday Sep 12,boxscore,PHI,,KCR,W,8,2,,88-60,1,up12.0,Buehler,Lorenzen,,2:45,N,41099,.62,+++++,
149,Saturday Sep 13,boxscore,PHI,,KCR,W,8,6,,89-60,1,up13.0,Walker,Zerpa,Duran,2:42,N,43326,.38,++++++,
150,Sunday Sep 14,boxscore,PHI,,KCR,L,3,10,,89-61,1,up12.0,Cameron,Nola,,2:43,D,42513,.35,-,
151,Monday Sep 15,boxscore,PHI,@,LAD,W,6,5,10,90-61,1,up12.5,Duran,Treinen,Robertson,2:56,N,43602,.93,+,
152,Tuesday Sep 16,boxscore,PHI,@,LAD,W,9,6,,91-61,1,up12.5,Banks,Treinen,Duran,2:45,N,44063,.21,++,
153,Wednesday Sep 17,boxscore,PHI,@,LAD,L,0,5,,91-62,1,up12.5,Snell,Luzardo,,2:19,N,50859,.15,-,
154,Friday Sep 19,boxscore,PHI,@,ARI,W,8,2,,92-62,1,up12.0,Buehler,Beeks,,2:59,N,36981,.10,+,
155,Saturday Sep 20,boxscore,PHI,@,ARI,L,3,4,,92-63,1,up12.0,Gallen,Nola,Curtiss,2:32,N,35498,.09,-,
156,Sunday Sep 21,boxscore,PHI,@,ARI,L,2,9,,92-64,1,up12.0,Rodríguez,Suarez,,2:45,D,37105,.11,--,
157,Tuesday Sep 23,boxscore,PHI,,MIA,L,5,6,11,92-65,1,up11.0,Simpson,Trivino,,3:27,N,38041,.08,---,
158,Wednesday Sep 24,boxscore,PHI,,MIA,W,11,1,,93-65,1,up12.0,Luzardo,Weathers,,2:17,N,36816,.07,+,
159,Thursday Sep 25,boxscore,PHI,,MIA,W,1,0,,94-65,1,up12.0,Buehler,Junk,Robertson,2:32,N,36265,.03,++,
160,Friday Sep 26,boxscore,PHI,,MIN,W,3,1,,95-65,1,up13.0,Nola,Ryan,Duran,2:23,N,40073,.02,+++,
161,Saturday Sep 27,boxscore,PHI,,MIN,L,0,5,,95-66,1,up12.0,Abel,Suarez,,2:38,N,40506,.02,-,
162,Sunday Sep 28,boxscore,PHI,,MIN,W-wo,2,1,10,96-66,1,up13.0,Kerkering,Laweryson,,2:37,D,42637,.00,+,
